plant,stem_length_m,internode_id,internode_len_m
0001,1.6445,1,0.1028
0001,1.6445,2,0.115
0001,1.6445,3,0.1431
0001,1.6445,4,0.0183
0001,1.6445,5,0.1246
0001,1.6445,6,0.1659
0001,1.6445,7,0.1284
0001,1.6445,8,0.43
0002,1.3626,1,0.0697
0002,1.3626,2,0.1608
0002,1.3626,3,0.1142
0002,1.3626,4,0.1823
0002,1.3626,5,0.1912
0002,1.3626,6,0.1374
0002,1.3626,7,0.1019
0002,1.3626,8,0.1079
0003,2.4264,1,0.0827
0003,2.4264,2,0.2638
0003,2.4264,3,0.1363
0003,2.4264,4,0.2051
0003,2.4264,5,0.1937
0003,2.4264,6,0.1453
0003,2.4264,7,0.4628
0003,2.4264,8,0.2505
0004,1.8397,1,0.1043
0004,1.8397,2,0.1555
0004,1.8397,3,0.1604
0004,1.8397,4,0.2008
0004,1.8397,5,0.1521
0004,1.8397,6,0.1449
0004,1.8397,7,0.1635
0004,1.8397,8,0.1661
0004,1.8397,9,0.1112
0005,1.502,1,0.0588
0005,1.502,2,0.0791
0005,1.502,3,0.1227
0005,1.502,4,0.1355
0005,1.502,5,0.149
0005,1.502,6,0.1601
0005,1.502,7,0.1535
0005,1.502,8,0.1329
0006,1.5552,1,0.1023
0006,1.5552,2,0.1226
0006,1.5552,3,0.1391
0006,1.5552,4,0.162
0006,1.5552,5,0.1231
0006,1.5552,6,0.1666
0006,1.5552,7,0.112
0006,1.5552,8,0.1236
0006,1.5552,9,0.1326
0007,1.4437,1,0.1263
0007,1.4437,2,0.1295
0007,1.4437,3,0.1192
0007,1.4437,4,0.1409
0007,1.4437,5,0.1275
0007,1.4437,6,0.1334
0007,1.4437,7,0.1499
0007,1.4437,8,0.1778
0008,1.7146,1,0.1184
0008,1.7146,2,0.1221
0008,1.7146,3,0.1522
0008,1.7146,4,0.1485
0008,1.7146,5,0.1354
0008,1.7146,6,0.2811
0008,1.7146,7,0.1168
0009,1.7322,1,0.1503
0009,1.7322,2,0.1251
0009,1.7322,3,0.1692
0009,1.7322,4,0.1484
0009,1.7322,5,0.152
0009,1.7322,6,0.1444
0009,1.7322,7,0.1306
0009,1.7322,8,0.2039
0009,1.7322,9,0.0406
0009,1.7322,10,0.1106
0010,1.3696,1,0.0234
0010,1.3696,2,0.094
0010,1.3696,3,0.1856
0010,1.3696,4,0.1032
0010,1.3696,5,0.204
0010,1.3696,6,0.1421
0010,1.3696,7,0.0776
0010,1.3696,8,0.1408
0010,1.3696,9,0.0692
0010,1.3696,10,0.0141
0010,1.3696,11,0.0228
0011,1.3192,1,0.029
0011,1.3192,2,0.1512
0011,1.3192,3,0.1561
0011,1.3192,4,0.1473
0011,1.3192,5,0.0811
0011,1.3192,6,0.1844
0011,1.3192,7,0.1417
0011,1.3192,8,0.1863
0012,1.8388,1,0.0984
0012,1.8388,2,0.1658
0012,1.8388,3,0.1159
0012,1.8388,4,0.1783
0012,1.8388,5,0.1394
0012,1.8388,6,0.1386
0012,1.8388,7,0.1491
0013,1.7859,1,0.1036
0013,1.7859,2,0.1201
0013,1.7859,3,0.0748
